Name,Description,gallery,color
Gates of the valley with dunes,The blue photo of gates of the valley,,
Supermoon in trivalley,"",,
Purple lake inlet,"",,
Tunnel view covered in snow,"",,
Thousand island lake outlet sunset,"",,
Valley view light magic sunset,"",,
Golden gate bridge and farallon islands,"",,
Elm tree and half dome during sunrise,"",,
Sentinel of Yosemite (BW),"",,
Fall colors at half dome,"",,
Half dome in autumn's sunset glow (BW),"",,
Golden embrace at Yosemite sunset,"",,
Half dome bathed in sunset glory at Yosemite national park,"",,
Cathedral peak and upper cathedral lakes at sunset,"",,
Wildflower symphony at Yosemite's cathedral peak,"",,
Upper Yosemite falls reflection vertical,"",,
"Autun Sunset at Sentinel bridge, Yosemite National Park",Sentinel bridge fall sunset,,
Yosemite chapel during winter,"",,
Upper Yosemite falls mirrored in the merced river (landscape),"",,
Upper yosemite falls mirrored in the merced river (landscape) 2018,"",,
Towering vernal falls in Yosemite,"",,
Vernal falls from the footbridge in Yosemite,"",,
Dogwoods and merced river,"",,
Yosemite falls and trees,"",,
Upper yosemite falls and half dome,"",,
Upper Yosemite falls and frozen meadows,"",,
Upper Yosemite Falls during very cold weather,"",,
reflection of upper yosemite falls in merced river (vertical),"",,
Reflection of upper yosemite falls in merced river (with tree to the right),"",,
Upper Yosemite falls Closeup,"",,
Tight closeup of upper yosemite aflls,"",,
"Cathedral peak at sunset, Yoesmite national park","",,
Upper pines bridge in winter,"",,
Last light over clouds rest,"",,
Three peaks of Yosemite valley (BW),"",,
Sunset over Yosemite high country,"",,
"Sunset over half dome, from washburn point","",,
"Sunset over half dome, from snow creek","",,
Close of half dome covered in clouds (BW),"",,
Half dome during christmas,"",,
Half dome in winter with snow in Ahwahnee meadows,"",,
Half dome and Ahwahnee meadow in winter,"",,
Half dome framed by fall colors,"",,
Elm tree at Cook's meadow,"",,
Half dome at sunset with merced river,"",,
Valley view sunset during fall,"",,
El Capitan and reflection during sunset,"",,
El Capitan and its reflection in Merced river during sunset with snow (vertical),"",,
El Capitan and snowy meadows,"",,
El Capitan three brothers panorama,"",,
Valley view sunset (dramatic),"",,
El Capitan and reflection in merced river during sunset (landscape),"",,
valley view in winter,"",,
Valley view winter wider perspective,"",,
Tunnel view in winter (BW),"",,
Tunnel view covered in snow,"",,
South side drive in winter (vertical),"",,
Southside drive frozen in Yosemite,"",,
Fern springs and snow,"",,
"Elm tree in Ahwahnee Meadow, Yosemite national park","",,
Bridalveil falls in winter,"",,
Ferns along the way to Taft point,"",,
"Snow-capped Sierra Nevada, Eastern Sierra","",,
Full moon magic near Tioga Pass,"",,
Autumn's Embrace in the Eastern Sierra,"",,
Mt. Whitney during sunrise,"",,
Sunrise falls over Mt. Whitney,"",,
Lone Pine Peak and Alabama Hills (BW),"",,
Mount Whitney and Alabama Hills (BW),"",,
Mount Whitney and Moon,"",,
Mount Whitney in winter (BW),"",,
Mount whitney in winter,"",,
Banner peak and thousand island lakes (BW),"",,
Banner peak and thousand island lakes,"",,
Recess peak sunrise,"",,
Pine tree and sunrise,"",,
Sunrise over Recess peak,"",,
Sunrise over lake edison and recess peak,"",,
Andromeda galaxy and milky way over lake edison,"",,
Fall colors along rush creek,"",,
Mono lake closeup south tufa sunset,"",,
mono lake south tufa sunset,"",,
Aspen trees during fall in June lake loop,"",,
Mt. Lewis and Hwy 120,"",,
Minarets and Iceberg Lake,"",,
Sequoia trees in general grant grove,"",,
Mt Whitney lit by moon light,"",,
"Evolution lake and the hermit, John Muir Trail","",,
Thousand island lake outlet sunset,"",,
Cathedral range during sunset,"",,
"Nevada falls, half dome and liberty bell during sunrise","",,
Lake Hamilton sunset,"",,
Lake Hamilton moonrise,"",,
Thousand island lake sunrise,"",,
Thousand island lake sunset,"",,
Upper lyell canyon lake,"",,
Squaw lake sunset,"",,
Purple lake inlet,"",,
Virginia lake,"",,
Sunset over Malibu,"",,
Cowell ranch beach,"",,
Cowell-purisma trail bluffs,"",,
Santa Cruz Sunrise along walton lighthouse,"",,
Bay bridge and the moon,"",,
"Pfiffer beach sunset, Keyhole","",,
"Sunset at Kohanaiki beach park, Big Island, Hawaii","",,
"Sunset near Kaloko-Honokohau National Park, Big Island, Hawaii","",,
"Black sand turtle beach, Hawaii","",,
"Saint Peter's catholic church and Kahaluu Bay, Big Island, Hawaii","",,
